# Ratio Measurement - KEITHLEY INSTRUMENTS INC.,MODEL 2100,1194515,01.12-01-01
# Main Channel: 100V, Reference: Auto
# Start: 2025-12-02 15:01:15
# Stop: 2025-12-03 08:00:00
# File: c:\WinPython\notebooks\HiPES\Francois\Driftmessung_2025-12-02_15-01-15.csv

Datum_Zeit,Ratiomesswert,Gleitender_Mittelwert,Gesamtmittelwert
2025-12-02 15:03:39,10.0312208000,10.0312205867,10.0312529833
2025-12-02 15:03:40,10.0312528000,10.0312254400,10.0312529821
2025-12-02 15:03:41,10.0312024000,10.0312244800,10.0312526356
2025-12-02 15:03:42,10.0312216000,10.0312245333,10.0312524245
2025-12-02 15:03:43,10.0312360000,10.0312257600,10.0312523135
2025-12-02 15:03:44,10.0312208000,10.0312273600,10.0312521020
2025-12-02 15:03:45,10.0312208000,10.0312299733,10.0312518933
2025-12-02 15:03:46,10.0312256000,10.0312305600,10.0312517192
2025-12-02 15:03:47,10.0312184000,10.0312306667,10.0312515000
2025-12-02 15:03:48,10.0312296000,10.0312294933,10.0312513569
2025-12-02 15:03:49,10.0312520000,10.0312308267,10.0312513610
2025-12-02 15:03:50,10.0312216000,10.0312313067,10.0312511690
2025-12-02 15:03:51,10.0312048000,10.0312284800,10.0312508718
2025-12-02 15:03:52,10.0312360000,10.0312263467,10.0312507771
2025-12-02 15:03:53,10.0312504000,10.0312275733,10.0312507747
2025-12-02 15:03:54,10.0311976000,10.0312260267,10.0312504403
2025-12-02 15:03:55,10.0312024000,10.0312226667,10.0312501400
2025-12-02 15:03:56,10.0311736000,10.0312207467,10.0312496646
2025-12-02 15:03:57,10.0311888000,10.0312185600,10.0312492889
2025-12-02 15:03:58,10.0312072000,10.0312166400,10.0312490307
2025-12-02 15:03:59,10.0312512000,10.0312186667,10.0312490439
2025-12-02 15:04:00,10.0311992000,10.0312172267,10.0312487418
2025-12-02 15:04:01,10.0312264000,10.0312172800,10.0312486072
2025-12-02 15:04:02,10.0312120000,10.0312168533,10.0312483880
2025-12-02 15:04:03,10.0312296000,10.0312168533,10.0312482762
2025-12-02 15:04:04,10.0312288000,10.0312153067,10.0312481609
2025-12-02 15:04:05,10.0312144000,10.0312148267,10.0312479624
2025-12-02 15:04:06,10.0312176000,10.0312156800,10.0312477848
2025-12-02 15:04:07,10.0312136000,10.0312141867,10.0312475860
2025-12-02 15:04:08,10.0312224000,10.0312123200,10.0312474405
2025-12-02 15:04:09,10.0312144000,10.0312134400,10.0312472506
2025-12-02 15:04:10,10.0311872000,10.0312124267,10.0312469074
2025-12-02 15:04:11,10.0311912000,10.0312136000,10.0312465909
2025-12-02 15:04:12,10.0312032000,10.0312145600,10.0312463458
2025-12-02 15:04:13,10.0312328000,10.0312162667,10.0312462697
2025-12-02 15:04:14,10.0312008000,10.0312129067,10.0312460156
2025-12-02 15:04:15,10.0312216000,10.0312144000,10.0312458800
2025-12-02 15:04:16,10.0312080000,10.0312131733,10.0312456707
2025-12-02 15:04:17,10.0312192000,10.0312136533,10.0312455253
2025-12-02 15:04:18,10.0312040000,10.0312119467,10.0312452984
2025-12-02 15:04:19,10.0312160000,10.0312110933,10.0312451391
2025-12-02 15:04:20,10.0312504000,10.0312134933,10.0312451676
2025-12-02 15:04:21,10.0312656000,10.0312166933,10.0312452774
2025-12-02 15:04:22,10.0312064000,10.0312162133,10.0312450695
2025-12-02 15:04:23,10.0312144000,10.0312156800,10.0312449064
2025-12-02 15:04:24,10.0312136000,10.0312156267,10.0312447407
2025-12-02 15:04:25,10.0312096000,10.0312171200,10.0312445558
2025-12-02 15:04:26,10.0312312000,10.0312197867,10.0312444859
2025-12-02 15:04:27,10.0312080000,10.0312201067,10.0312442958
2025-12-02 15:04:28,10.0312176000,10.0312190933,10.0312441575
2025-12-02 15:04:29,10.0312144000,10.0312200000,10.0312440041
2025-12-02 15:04:30,10.0312192000,10.0312198400,10.0312438769
2025-12-02 15:04:31,10.0311896000,10.0312186133,10.0312436000
2025-12-02 15:04:32,10.0311880000,10.0312165333,10.0312433178
2025-12-02 15:04:33,10.0311920000,10.0312157333,10.0312430586
2025-12-02 15:04:34,10.0312232000,10.0312162133,10.0312429588
2025-12-02 15:04:35,10.0311976000,10.0312126933,10.0312427320
2025-12-02 15:04:36,10.0312120000,10.0312091200,10.0312425791
2025-12-02 15:04:37,10.0312168000,10.0312098133,10.0312424515
2025-12-02 15:04:38,10.0311832000,10.0312077333,10.0312421596
2025-12-02 15:04:39,10.0312048000,10.0312071467,10.0312419765
2025-12-02 15:04:40,10.0311872000,10.0312056533,10.0312417093
2025-12-02 15:04:41,10.0311984000,10.0312034667,10.0312414990
2025-12-02 15:04:42,10.0311760000,10.0312013333,10.0312411826
2025-12-02 15:04:43,10.0311824000,10.0311989867,10.0312409000
2025-12-02 15:04:44,10.0311960000,10.0311977600,10.0312406852
2025-12-02 15:04:45,10.0312080000,10.0311970133,10.0312405295
2025-12-02 15:04:46,10.0312040000,10.0311979733,10.0312403564
2025-12-02 15:04:47,10.0311992000,10.0311987200,10.0312401623
2025-12-02 15:04:48,10.0312064000,10.0311996800,10.0312400038
2025-12-02 15:04:49,10.0311888000,10.0311973867,10.0312397645
2025-12-02 15:04:50,10.0312048000,10.0311978667,10.0312396019
2025-12-02 15:04:51,10.0312048000,10.0311973867,10.0312394407
2025-12-02 15:04:52,10.0312168000,10.0311973867,10.0312393364
2025-12-02 15:04:53,10.0311920000,10.0311979733,10.0312391193
2025-12-02 15:04:54,10.0312040000,10.0311979200,10.0312389589
2025-12-02 15:04:55,10.0312072000,10.0311992533,10.0312388145
2025-12-02 15:04:56,10.0311864000,10.0311984533,10.0312385774
2025-12-02 15:04:57,10.0312136000,10.0312009600,10.0312384649
2025-12-02 15:04:58,10.0311736000,10.0312003733,10.0312381740
2025-12-02 15:04:59,10.0312040000,10.0312009067,10.0312380214
2025-12-02 15:05:00,10.0311928000,10.0311998933,10.0312378204
2025-12-02 15:05:01,10.0312136000,10.0312005333,10.0312377133
2025-12-02 15:05:02,10.0311912000,10.0312000000,10.0312375084
